Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-1.19999999999921,-9.60000000000034,-7.60000000000005,-11.7,-10.4000000000001,2.80000000000014,11.3999999999999,8.39999999999999,3.39999999999993,5.80000000000005,4.72530600626246,5.04526731762394,7.04319267515923,11.4497429270061,9.40000000000001,10,8.60000000013864,10.2000000000983,0.200000000044014,7.74078121556398,5.54371146099548,1.73139122338632,1.07360080128041,1.72308600283803,-3.88769850231654,..
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,17369598958.1159,17813389815.004,17022180272.211,16280372553.0518,14931599418.4226,13972637603.2102,14756861538.4615,14128412417.193,15222014828.3039,12138485328.6267,12736856485.1068,12354820143.8849,14594925392.9691,17825436034.5366,23141587717.7633,30210091836.8294,36961821893.6976,45275747860.6442,60752177438.8895,49208656976.039,55220932613.958,59734593904.6402,63615445566.8483,73097619636.8209,76103961203.4406,54608962634.9908,..
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3901.52543716148,2867.22942525824,3338.65515761704,3916.05165601696,4583.5844993381,5765.04843935797,6473.4354520108,5980.25830430715,6447.46353907816,6293.30438711993,5994.52827686543,6594.71746509376,8011.89807378016,9741.05838376821,11667.6321201205,13317.7298342014,15159.1411456575,18333.9459002641,22649.3793400813,19698.4920909142,19763.9637984737,21656.9414181786,19640.9286597038,19813.8715746383,19502.4173306083,17231.2817109642,..
Czech Republic,CZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-11.4025060199383,-0.608213635360642,-0.0420531024969932,2.87214351826653,6.28655463088086,4.40423537142425,-0.567177418462066,-0.221542586323523,1.54174846824793,4.58700195749972,3.43943443083752,1.84321749143174,3.63149824818292,4.91552051802509,6.29512678388404,6.5875187700283,4.91525178998195,1.86258108701483,-5.38238822127492,1.9974747793845,1.7560168151296,-1.03887561850982,-0.561160101379429,1.87085040396913,3.94255198007787,..
Czech Republic,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-11.6149423591857,-0.50654234886359,0.0619042479584664,2.90930946489505,6.22140600078447,4.28279904413745,-0.674271247765802,-0.316032668742196,1.438050224397,4.29413605934765,3.05152128302544,1.64694964030225,3.60184254523428,4.9474562570911,6.44226229961096,6.87654426975558,5.52926633870676,2.71095557125116,-4.84178529599535,2.29508968687023,1.96661263222273,-0.900306692159859,-0.528170820871225,1.97815404498431,4.19804965676525,..
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,40315847383.7197,29557058174.1697,34451993226.0347,40452245779.1651,47364869195.7617,59537113790.5049,66775046785.4354,61621364981.4187,66372594575.1707,64719461254.5271,61474265134.5364,67375623427.4642,81696651658.8981,99300329682.0164,118976023159.713,135990215966.674,155213006071.979,188818155388.125,235204812643.146,205729790694.015,207015860050.371,227313162936.047,206441578342.485,208328435108.816,205269709743.466,181811026983.078,..
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,2395.56458240433,2680.04102617743,2908.81083227843,3089.43827648565,3755.72773656894,4799.15105117605,5177.74886425007,5138.14867915936,5533.58884487639,5636.57953222783,5402.9297536132,5708.08265935269,6524.86187815598,8696.91324191405,10654.7937072937,11631.3545704906,13100.3652701628,16014.5986924985,18604.3192257127,16460.221106911,16554.8787976196,18138.7234166753,17207.2784936729,18108.5217487811,18501.4296155336,15962.5722388828,..
Slovak Republic,SVK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,1.51309128902024,5.7878459419352,5.53421614935519,6.53140846315814,5.87189085021113,3.87240534655928,-0.306863391806573,1.3472837806993,3.50572081653829,4.56079426416576,5.48812833598065,5.28027280917975,6.38685009557072,8.48052241042588,10.8021008155999,5.56215803797153,-5.6172168134968,4.9839701660146,2.70942328143971,1.35069888498558,1.31905067911262,2.42246467733673,3.49186614856126,..
Slovak Republic,SVK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,1.90132746194847,6.20553004618371,5.84349555959524,6.75714701009902,6.06754267337035,4.0118141447515,-0.205071462445545,1.21017621408556,3.316465878964,4.52279065619653,5.41871730636872,5.25883811685178,6.39728623627826,8.48550950358506,10.834435814295,5.65272200892859,-5.49136100769758,5.0818516658818,2.84193859062046,1.52332826374921,1.42798463285574,2.52190923536976,3.59502093291218,..
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,12694544692.7374,14213045493.8806,15431288006.2104,16452201100.9604,20079363625.5784,25733043137.2549,27821913814.9556,27660149541.1805,29828899205.7277,30415095887.492,29114875621.8905,30703017449.6644,35083608130.9994,46731767494.3567,57240535137.8197,62493023255.814,70388970016.3091,86072414453.8735,100076967921.488,88661433731.5921,89254437086.0927,97919794273.0053,93049717829.537,98028544875.1992,100252753084.782,86581789952.3123,..
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,..,3333.90104770405,3716.86956819971,3855.07339515788,4152.99697915937,4472.76269790186,4508.1760808459,4580.02676907182,4735.29200849863,4789.53295389443,4619.52863282639,5266.85006050949,6646.23825495591,8391.14195161433,10254.241027541,11155.9614487481,11392.0680693742,13830.8324125299,15649.7229729163,12948.0766708512,13009.3453790731,14032.7742633362,12819.7120588032,13585.4301761498,14021.902274347,12259.1150279573,..
Hungary,HUN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,-3.02623555290212,-0.46266522093822,3.08816830759298,1.63091759660323,0.215231079517508,3.63358063201088,4.45257974396642,3.5370274931521,4.49850844088814,4.0876233277032,4.77877329721852,4.14177349991149,5.17034527118223,4.56236936200227,3.96812951001004,0.581515354616727,1.01606749756185,-6.41421766445572,0.971149046065165,2.04625108093551,-1.17986630902131,2.17072726945892,3.95186745420857,3.16667475247256,..
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,-3.0641803453415,-0.576108517134102,2.94715455666218,1.48952547536065,0.0432375253379007,3.42501168371628,4.20982270633412,3.24416285789407,4.22741024770275,3.84914160566605,4.48083868501303,3.84390361746169,4.93771437534933,4.35462358103122,3.80635997718164,0.42581997013788,0.839345785330963,-6.55907806016953,0.743197936382074,1.75750167300053,-1.68889510283377,1.88976802221464,3.67222001972594,2.93891579055648,..
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,..,34583889128.2532,38541488005.1856,39929011357.0358,42955922069.3729,46199009359.9339,46484876515.5093,47130701346.7588,48615206875.6918,49032987301.4829,47169872903.4599,53656435272.045,67516529106.7011,84998508738.2588,103641111184.547,112530908271.016,114733732591.853,139079807957.27,157094861350.053,129774040645.107,130093753005.675,139930994006.615,127176184359.093,134401774737.924,138346650088.972,120687138088.121,..
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,3044.37910879554,3352.73024968655,3619.94670373304,4052.29267186935,4148.06045833246,4070.03190359432,4498.95870413333,5308.34696117632,7174.24079225034,8850.46784994613,10338.3172625946,12595.414840361,16586.4079613909,18094.5473954875,14726.3139057181,14641.4031443742,17453.7537611724,17490.9931300409,19155.4212505428,20147.7782167553,17295.36383043,..
